CABra ID  	 43
ANA ID    	 17730000
Longitude 	 -55.953   	 dd
Latitude  	 -4.276    	 dd
Area      	 459185.37 	 km²
Elevation 	 313.11    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	   2653.697	          2
 1980	    10	     2	   2626.756	          2
 1980	    10	     3	   2599.999	          2
 1980	    10	     4	   2560.203	          2
 1980	    10	     5	   2599.999	          2
 1980	    10	     6	   2694.453	          2
 1980	    10	     7	   2749.440	          2
 1980	    10	     8	   2805.170	          2
 1980	    10	     9	   2847.459	          2
 1980	    10	    10	   2861.649	          2
 1980	    10	    11	   2918.880	          2
 1980	    10	    12	   2904.501	          2
 1980	    10	    13	   2890.170	          2
 1980	    10	    14	   2875.886	          2
 1980	    10	    15	   2875.886	          2
 1980	    10	    16	   2890.170	          2
 1980	    10	    17	   2933.306	          2
 1980	    10	    18	   2947.780	          2
 1980	    10	    19	   2918.880	          2
 1980	    10	    20	   2918.880	          2
 1980	    10	    21	   2947.780	          2
 1980	    10	    22	   2976.869	          2
 1980	    10	    23	   2976.869	          2
 1980	    10	    24	   2933.306	          2
 1980	    10	    25	   2962.301	          2
 1980	    10	    26	   2991.486	          2
 1980	    10	    27	   2976.869	          2
 1980	    10	    28	   2904.501	          2
 1980	    10	    29	   2847.459	          2
 1980	    10	    30	   2805.170	          2
 1980	    10	    31	   2735.624	          2
 1980	    11	     1	   2708.130	          2
 1980	    11	     2	   2680.822	          2
 1980	    11	     3	   2667.237	          2
 1980	    11	     4	   2694.453	          2
 1980	    11	     5	   2721.854	          2
 1980	    11	     6	   2735.624	          2
 1980	    11	     7	   2749.440	          2
 1980	    11	     8	   2805.170	          2
 1980	    11	     9	   2890.170	          2
 1980	    11	    10	   2976.869	          2
 1980	    11	    11	   3080.190	          2
 1980	    11	    12	   3356.787	          2
 1980	    11	    13	   3468.671	          2
 1980	    11	    14	   3599.551	          2
 1980	    11	    15	   3682.999	          2
 1980	    11	    16	   3801.979	          2
 1980	    11	    17	   3888.516	          2
 1980	    11	    18	   3941.063	          2
 1980	    11	    19	   3976.355	          2
 1980	    11	    20	   4101.539	          2
 1980	    11	    21	   4210.908	          2
 1980	    11	    22	   4322.204	          2
 1980	    11	    23	   4340.941	          2
 1980	    11	    24	   4359.733	          2
 1980	    11	    25	   4416.434	          2
 1980	    11	    26	   4492.797	          2
 1980	    11	    27	   4550.644	          2
 1980	    11	    28	   4550.644	          2
 1980	    11	    29	   4492.797	          2
 1980	    11	    30	   4397.479	          2
 1980	    12	     1	   4322.204	          2
 1980	    12	     2	   4322.204	          2
 1980	    12	     3	   4322.204	          2
 1980	    12	     4	   4340.941	          2
 1980	    12	     5	   4473.625	          2
 1980	    12	     6	   4628.542	          2
 1980	    12	     7	   4786.995	          2
 1980	    12	     8	   4827.166	          1
 1980	    12	     9	   4847.334	          1
 1980	    12	    10	   4908.179	          1
 1980	    12	    11	   4949.023	          1
 1980	    12	    12	   4969.530	          1
 1980	    12	    13	   5093.763	          1
 1980	    12	    14	   5156.648	          1
 1980	    12	    15	   5198.858	          1
 1980	    12	    16	   5198.858	          1
 1980	    12	    17	   5241.297	          1
 1980	    12	    18	   5262.604	          1
 1980	    12	    19	   5305.389	          1
 1980	    12	    20	   5220.049	          1
 1980	    12	    21	   5156.648	          1
 1980	    12	    22	   5135.629	          1
 1980	    12	    23	   5220.049	          1
 1980	    12	    24	   5305.389	          1
 1980	    12	    25	   5456.962	          1
 1980	    12	    26	   5791.427	          1
 1980	    12	    27	   6234.344	          1
 1980	    12	    28	   6674.259	          1
 1980	    12	    29	   6850.773	          1
 1980	    12	    30	   7239.440	          1
 1980	    12	    31	   7697.388	          1
 1981	     1	     1	   8260.396	          1
 1981	     1	     2	   8820.072	          1
 1981	     1	     3	   9126.277	          1
 1981	     1	     4	   9509.053	          1
 1981	     1	     5	   9810.827	          1
 1981	     1	     6	  10072.295	          1
 1981	     1	     7	  10248.035	          1
 1981	     1	     8	  10469.311	          1
 1981	     1	     9	  10962.325	          1
 1981	     1	    10	  11007.565	          2
 1981	     1	    11	  11052.876	          2
 1981	     1	    12	  11007.565	          2
 1981	     1	    13	  10962.325	          2
 1981	     1	    14	  11052.876	          2
 1981	     1	    15	  10782.063	          2
 1981	     1	    16	  10782.063	          2
 1981	     1	    17	  10782.063	          2
 1981	     1	    18	  11052.876	          2
 1981	     1	    19	  11189.225	          2
 1981	     1	    20	  11280.472	          2
 1981	     1	    21	  11787.279	          2
 1981	     1	    22	  12208.122	          2
 1981	     1	    23	  12539.258	          2
 1981	     1	    24	  13357.191	          2
 1981	     1	    25	  14045.235	          2
 1981	     1	    26	  14948.767	          2
