CABra ID  	 44
ANA ID    	 18200000
Longitude 	 -54.397   	 dd
Latitude  	 -1.782    	 dd
Area      	 12403.05  	 km²
Elevation 	 342.38    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	     11.512	          2
 1980	    10	     2	      7.891	          2
 1980	    10	     3	      8.184	          2
 1980	    10	     4	      7.891	          2
 1980	    10	     5	      8.483	          2
 1980	    10	     6	      8.789	          2
 1980	    10	     7	      9.103	          2
 1980	    10	     8	      9.425	          2
 1980	    10	     9	      9.425	          2
 1980	    10	    10	      9.425	          2
 1980	    10	    11	      9.103	          2
 1980	    10	    12	      9.103	          2
 1980	    10	    13	      9.103	          2
 1980	    10	    14	      8.789	          2
 1980	    10	    15	      8.789	          2
 1980	    10	    16	      8.483	          2
 1980	    10	    17	      8.483	          2
 1980	    10	    18	      8.483	          2
 1980	    10	    19	      8.483	          2
 1980	    10	    20	      8.184	          2
 1980	    10	    21	      7.891	          2
 1980	    10	    22	      7.891	          2
 1980	    10	    23	      7.891	          2
 1980	    10	    24	      7.891	          2
 1980	    10	    25	      7.891	          2
 1980	    10	    26	      8.184	          2
 1980	    10	    27	      8.483	          2
 1980	    10	    28	      8.483	          2
 1980	    10	    29	      8.789	          2
 1980	    10	    30	      9.103	          2
 1980	    10	    31	      8.789	          2
 1980	    11	     1	      8.483	          2
 1980	    11	     2	      8.184	          2
 1980	    11	     3	      7.891	          2
 1980	    11	     4	      7.606	          2
 1980	    11	     5	      7.056	          2
 1980	    11	     6	      6.792	          2
 1980	    11	     7	      6.534	          2
 1980	    11	     8	      6.534	          2
 1980	    11	     9	      6.283	          2
 1980	    11	    10	      6.283	          2
 1980	    11	    11	      6.283	          2
 1980	    11	    12	      6.283	          2
 1980	    11	    13	      6.534	          2
 1980	    11	    14	      6.534	          2
 1980	    11	    15	      6.283	          2
 1980	    11	    16	      6.792	          2
 1980	    11	    17	      7.056	          2
 1980	    11	    18	      7.606	          2
 1980	    11	    19	      8.483	          2
 1980	    11	    20	      8.789	          2
 1980	    11	    21	      8.789	          2
 1980	    11	    22	      8.483	          2
 1980	    11	    23	      8.184	          2
 1980	    11	    24	      7.891	          2
 1980	    11	    25	      7.606	          2
 1980	    11	    26	      7.328	          2
 1980	    11	    27	      6.792	          2
 1980	    11	    28	      6.283	          2
 1980	    11	    29	      6.038	          2
 1980	    11	    30	      5.342	          2
 1980	    12	     1	      5.122	          2
 1980	    12	     2	      4.909	          2
 1980	    12	     3	      4.909	          2
 1980	    12	     4	      4.702	          2
 1980	    12	     5	      4.500	          2
 1980	    12	     6	      4.500	          2
 1980	    12	     7	      4.305	          2
 1980	    12	     8	      4.305	          2
 1980	    12	     9	      4.909	          2
 1980	    12	    10	      4.702	          2
 1980	    12	    11	      4.702	          2
 1980	    12	    12	      4.702	          2
 1980	    12	    13	      4.702	          2
 1980	    12	    14	      4.500	          2
 1980	    12	    15	      4.500	          2
 1980	    12	    16	      4.702	          2
 1980	    12	    17	      4.500	          2
 1980	    12	    18	      4.702	          2
 1980	    12	    19	      4.500	          2
 1980	    12	    20	      3.752	          2
 1980	    12	    21	      3.931	          2
 1980	    12	    22	      3.752	          2
 1980	    12	    23	      4.115	          2
 1980	    12	    24	      3.931	          2
 1980	    12	    25	      3.931	          2
 1980	    12	    26	      3.931	          2
 1980	    12	    27	      3.931	          2
 1980	    12	    28	      4.115	          2
 1980	    12	    29	      4.305	          2
 1980	    12	    30	      4.115	          2
 1980	    12	    31	      4.305	          2
 1981	     1	     1	      4.500	          2
 1981	     1	     2	      4.305	          2
 1981	     1	     3	      4.115	          2
 1981	     1	     4	      3.752	          2
 1981	     1	     5	      3.752	          2
 1981	     1	     6	      3.752	          2
 1981	     1	     7	      3.752	          2
 1981	     1	     8	      3.931	          2
 1981	     1	     9	      4.115	          2
 1981	     1	    10	      3.931	          2
 1981	     1	    11	      3.931	          2
 1981	     1	    12	      4.500	          2
 1981	     1	    13	      4.500	          2
 1981	     1	    14	      5.122	          2
 1981	     1	    15	      4.305	          2
 1981	     1	    16	      4.500	          2
 1981	     1	    17	      4.702	          2
 1981	     1	    18	      4.702	          2
 1981	     1	    19	      4.702	          2
 1981	     1	    20	      4.909	          2
 1981	     1	    21	      5.122	          2
 1981	     1	    22	      5.342	          2
 1981	     1	    23	      6.038	          2
 1981	     1	    24	      6.792	          2
 1981	     1	    25	      7.891	          2
 1981	     1	    26	      8.483	          2
 1981	     1	    27	      8.789	          2
 1981	     1	    28	     11.512	          2
 1981	     1	    29	     16.568	          2
 1981	     1	    30	     24.769	          2
 1981	     1	    31	     23.922	          2
 1981	     2	     1	     26.048	          2
 1981	     2	     2	     35.732	          2
 1981	     2	     3	     34.831	          2
 1981	     2	     4	     32.152	          2
 1981	     2	     5	     31.709	          2
 1981	     2	     6	     31.267	          2
 1981	     2	     7	     29.510	          2
 1981	     2	     8	     27.338	          2
 1981	     2	     9	     26.048	          2
 1981	     2	    10	     23.080	          2
 1981	     2	    11	     17.046	          2
 1981	     2	    12	     19.765	          2
 1981	     2	    13	     17.046	          2
 1981	     2	    14	     18.029	          2
 1981	     2	    15	     18.029	          2
 1981	     2	    16	     19.049	          2
 1981	     2	    17	     22.243	          2
 1981	     2	    18	     22.243	          2
 1981	     2	    19	     20.586	          2
 1981	     2	    20	     19.357	          2
 1981	     2	    21	     17.533	          2
 1981	     2	    22	     17.046	          2
 1981	     2	    23	     17.046	          2
 1981	     2	    24	     19.049	          2
 1981	     2	    25	     20.998	          2
 1981	     2	    26	     20.998	          2
 1981	     2	    27	     20.586	          2
 1981	     2	    28	     18.535	          2
 1981	     3	     1	     16.099	          2
 1981	     3	     2	     14.746	          2
 1981	     3	     3	     15.188	          2
 1981	     3	     4	     15.639	          2
 1981	     3	     5	     16.099	          2
 1981	     3	     6	     15.639	          2
 1981	     3	     7	     15.639	          2
 1981	     3	     8	     12.662	          2
 1981	     3	     9	     11.512	          2
 1981	     3	    10	     10.785	          2
 1981	     3	    11	     10.090	          2
 1981	     3	    12	      8.184	          2
 1981	     3	    13	      9.103	          2
 1981	     3	    14	      8.789	          2
 1981	     3	    15	      8.483	          2
 1981	     3	    16	      8.184	          2
 1981	     3	    17	      7.891	          2
 1981	     3	    18	      7.606	          2
 1981	     3	    19	      7.328	          2
 1981	     3	    20	      7.056	          2
 1981	     3	    21	      6.792	          2
 1981	     3	    22	      7.056	          2
 1981	     3	    23	      6.792	          2
 1981	     3	    24	      7.891	          2
 1981	     3	    25	     12.271	          2
 1981	     3	    26	     21.827	          2
 1981	     3	    27	     31.267	          2
 1981	     3	    28	     45.408	          2
 1981	     3	    29	     48.241	          2
 1981	     3	    30	     34.831	          2
 1981	     3	    31	     26.477	          2
 1981	     4	     1	     22.661	          2
 1981	     4	     2	     21.412	          2
 1981	     4	     3	     19.357	          2
 1981	     4	     4	     18.535	          2
 1981	     4	     5	     17.533	          2
 1981	     4	     6	     14.746	          2
 1981	     4	     7	     14.746	          2
 1981	     4	     8	     17.533	          2
 1981	     4	     9	     18.029	          2
 1981	     4	    10	     19.765	          2
 1981	     4	    11	     19.049	          2
 1981	     4	    12	     16.568	          2
 1981	     4	    13	     13.887	          2
 1981	     4	    14	     12.271	          2
 1981	     4	    15	     11.887	          2
 1981	     4	    16	     10.090	          1
 1981	     4	    17	     18.535	          1
 1981	     4	    18	     25.620	          1
 1981	     4	    19	     23.500	          1
 1981	     4	    20	     23.080	          1
 1981	     4	    21	     22.243	          1
 1981	     4	    22	     20.998	          1
 1981	     4	    23	     20.175	          1
 1981	     4	    24	     19.765	          1
 1981	     4	    25	     20.175	          1
 1981	     4	    26	     22.661	          1
 1981	     4	    27	     25.194	          1
 1981	     4	    28	     25.620	          1
 1981	     4	    29	     24.345	          1
 1981	     4	    30	     23.500	          1
 1981	     5	     1	     19.765	          1
 1981	     5	     2	     20.175	          1
 1981	     5	     3	     20.998	          1
 1981	     5	     4	     21.412	          1
 1981	     5	     5	     36.636	          1
 1981	     5	     6	     42.140	          1
 1981	     5	     7	     42.604	          1
 1981	     5	     8	     40.291	          1
 1981	     5	     9	     39.372	          1
 1981	     5	    10	     43.536	          1
 1981	     5	    11	     48.716	          1
 1981	     5	    12	     57.391	          1
 1981	     5	    13	     56.903	          1
 1981	     5	    14	     51.102	          1
 1981	     5	    15	     44.939	          1
 1981	     5	    16	     40.752	          1
 1981	     5	    17	     39.372	          1
 1981	     5	    18	     38.914	          1
 1981	     5	    19	     44.939	          1
 1981	     5	    20	     55.929	          1
 1981	     5	    21	     85.732	          1
 1981	     5	    22	    100.019	          1
 1981	     5	    23	     99.483	          1
 1981	     5	    24	     91.508	          1
 1981	     5	    25	     78.474	          1
 1981	     5	    26	     67.796	          1
 1981	     5	    27	     63.301	          1
 1981	     5	    28	     57.880	          1
 1981	     5	    29	     60.334	          1
 1981	     5	    30	     62.310	          1
 1981	     5	    31	     57.391	          1
 1981	     6	     1	     58.860	          1
 1981	     6	     2	     56.903	          1
 1981	     6	     3	     54.473	          1
 1981	     6	     4	     64.794	          1
 1981	     6	     5	     65.792	          1
 1981	     6	     6	     63.798	          2
 1981	     6	     7	     56.903	          2
 1981	     6	     8	     52.061	          2
 1981	     6	     9	     42.140	          2
 1981	     6	    10	     36.183	          2
 1981	     6	    11	     32.596	          2
 1981	     6	    12	     34.831	          2
 1981	     6	    13	     33.934	          2
 1981	     6	    14	     28.203	          2
 1981	     6	    15	     26.906	          2
 1981	     6	    16	     27.338	          2
 1981	     6	    17	     31.267	          2
 1981	     6	    18	     36.183	          2
 1981	     6	    19	     37.544	          2
 1981	     6	    20	     38.914	          2
 1981	     6	    21	     38.000	          2
 1981	     6	    22	     33.934	          2
 1981	     6	    23	     31.267	          2
 1981	     6	    24	     29.073	          2
