CABra ID  	 4
ANA ID    	 14250000
Longitude 	 -67.313   	 dd
Latitude  	 0.372     	 dd
Area      	 127540.91 	 km²
Elevation 	 184.31    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	   9169.137	          2
 1980	    10	     2	   9040.607	          2
 1980	    10	     3	   8894.627	          2
 1980	    10	     4	   8713.521	          2
 1980	    10	     5	   8533.944	          2
 1980	    10	     6	   8196.978	          2
 1980	    10	     7	   8074.235	          2
 1980	    10	     8	   7987.027	          2
 1980	    10	     9	   7882.890	          2
 1980	    10	    10	   7831.031	          2
 1980	    10	    11	   7831.031	          2
 1980	    10	    12	   7831.031	          2
 1980	    10	    13	   7762.104	          2
 1980	    10	    14	   7727.733	          2
 1980	    10	    15	   7727.733	          2
 1980	    10	    16	   7727.733	          2
 1980	    10	    17	   7796.536	          2
 1980	    10	    18	   7831.031	          2
 1980	    10	    19	   7900.207	          2
 1980	    10	    20	   7882.890	          2
 1980	    10	    21	   7813.775	          2
 1980	    10	    22	   7693.426	          2
 1980	    10	    23	   7573.842	          2
 1980	    10	    24	   7505.854	          2
 1980	    10	    25	   7522.828	          2
 1980	    10	    26	   7590.879	          2
 1980	    10	    27	   7676.296	          2
 1980	    10	    28	   7744.911	          2
 1980	    10	    29	   7796.536	          2
 1980	    10	    30	   7727.733	          2
 1980	    10	    31	   7642.082	          2
 1980	    11	     1	   7505.854	          2
 1980	    11	     2	   7387.478	          2
 1980	    11	     3	   7253.136	          2
 1980	    11	     4	   7036.987	          2
 1980	    11	     5	   6709.698	          2
 1980	    11	     6	   6388.817	          2
 1980	    11	     7	   6058.851	          2
 1980	    11	     8	   5797.003	          2
 1980	    11	     9	   5584.933	          2
 1980	    11	    10	   5376.107	          2
 1980	    11	    11	   5243.587	          2
 1980	    11	    12	   5170.551	          2
 1980	    11	    13	   5097.935	          2
 1980	    11	    14	   4868.397	          2
 1980	    11	    15	   4854.195	          2
 1980	    11	    16	   4953.966	          2
 1980	    11	    17	   5069.006	          2
 1980	    11	    18	   5228.947	          2
 1980	    11	    19	   5524.936	          2
 1980	    11	    20	   5751.288	          2
 1980	    11	    21	   6027.800	          2
 1980	    11	    22	   6246.526	          2
 1980	    11	    23	   6388.817	          2
 1980	    11	    24	   6612.758	          2
 1980	    11	    25	   6839.848	          2
 1980	    11	    26	   7119.805	          2
 1980	    11	    27	   7269.874	          2
 1980	    11	    28	   7370.630	          2
 1980	    11	    29	   7488.896	          2
 1980	    11	    30	   7539.817	          2
 1980	    12	     1	   7522.828	          2
 1980	    12	     2	   7438.116	          2
 1980	    12	     3	   7353.798	          2
 1980	    12	     4	   7269.874	          2
 1980	    12	     5	   7119.805	          2
 1980	    12	     6	   6839.848	          2
 1980	    12	     7	   6661.156	          2
 1980	    12	     8	   6580.574	          2
 1980	    12	     9	   6309.604	          2
 1980	    12	    10	   5996.814	          2
 1980	    12	    11	   5736.082	          2
 1980	    12	    12	   5465.205	          2
 1980	    12	    13	   5069.006	          2
 1980	    12	    14	   4811.690	          2
 1980	    12	    15	   4657.152	          2
 1980	    12	    16	   4367.886	          2
 1980	    12	    17	   4232.819	          2
 1980	    12	    18	   3994.094	          2
 1980	    12	    19	   3735.535	          2
 1980	    12	    20	   3496.504	          2
 1980	    12	    21	   3251.925	          2
 1980	    12	    22	   3002.984	          2
 1980	    12	    23	   2887.306	          2
 1980	    12	    24	   2750.958	          2
 1980	    12	    25	   2650.475	          2
 1980	    12	    26	   2573.383	          2
 1980	    12	    27	   2606.308	          2
 1980	    12	    28	   2852.966	          2
 1980	    12	    29	   3108.679	          2
 1980	    12	    30	   3434.679	          2
 1980	    12	    31	   3672.006	          2
 1981	     1	     1	   3941.817	          2
 1981	     1	     2	   4192.638	          2
 1981	     1	     3	   4395.108	          2
 1981	     1	     4	   4463.464	          2
 1981	     1	     5	   4219.408	          2
 1981	     1	     6	   4099.494	          2
 1981	     1	     7	   3954.860	          2
 1981	     1	     8	   3980.999	          2
 1981	     1	     9	   4741.189	          2
 1981	     1	    10	   4996.979	          2
 1981	     1	    11	   4840.009	          2
 1981	     1	    12	   4727.141	          2
 1981	     1	    13	   4643.206	          2
 1981	     1	    14	   4477.187	          2
 1981	     1	    15	   4273.157	          2
 1981	     1	    16	   4007.208	          2
 1981	     1	    17	   3799.510	          2
 1981	     1	    18	   3646.719	          2
 1981	     1	    19	   3471.720	          2
 1981	     1	    20	   3239.887	          2
 1981	     1	    21	   3002.984	          2
 1981	     1	    22	   2807.441	          2
 1981	     1	    23	   2683.799	          2
 1981	     1	    24	   2475.637	          2
 1981	     1	    25	   2264.008	          2
 1981	     1	    26	   2130.626	          2
 1981	     1	    27	   2060.183	          2
 1981	     1	    28	   1931.945	          2
 1981	     1	    29	   1980.868	          2
 1981	     1	    30	   2110.401	          2
 1981	     1	    31	   2212.315	          2
 1981	     2	     1	   2316.189	          2
 1981	     2	     2	   2316.189	          2
 1981	     2	     3	   2274.406	          2
 1981	     2	     4	   2222.615	          2
 1981	     2	     5	   2181.534	          2
 1981	     2	     6	   2243.272	          2
 1981	     2	     7	   2464.873	          2
 1981	     2	     8	   2672.672	          2
 1981	     2	     9	   2841.557	          2
 1981	     2	    10	   3215.866	          2
 1981	     2	    11	   3348.885	          2
 1981	     2	    12	   3546.288	          2
 1981	     2	    13	   3710.070	          2
 1981	     2	    14	   3697.364	          2
 1981	     2	    15	   3697.364	          2
 1981	     2	    16	   3722.794	          2
 1981	     2	    17	   3722.794	          2
 1981	     2	    18	   3748.295	          2
 1981	     2	    19	   3851.010	          2
 1981	     2	    20	   3980.999	          2
 1981	     2	    21	   4126.019	          2
 1981	     2	    22	   4206.015	          2
 1981	     2	    23	   4313.651	          2
 1981	     2	    24	   4367.886	          2
 1981	     2	    25	   4395.108	          2
 1981	     2	    26	   4436.070	          2
 1981	     2	    27	   4573.730	          2
 1981	     2	    28	   4868.397	          2
 1981	     3	     1	   5069.006	          2
 1981	     3	     2	   5214.323	          2
 1981	     3	     3	   5361.316	          2
 1981	     3	     4	   5554.901	          2
 1981	     3	     5	   5751.288	          2
 1981	     3	     6	   5981.346	          2
 1981	     3	     7	   6199.388	          2
 1981	     3	     8	   6341.241	          2
 1981	     3	     9	   6564.505	          2
 1981	     3	    10	   6938.131	          2
 1981	     3	    11	   7320.181	          2
 1981	     3	    12	   7421.221	          2
 1981	     3	    13	   7387.478	          2
 1981	     3	    14	   7353.798	          2
 1981	     3	    15	   7119.805	          2
 1981	     3	    16	   6790.922	          2
 1981	     3	    17	   6468.433	          2
 1981	     3	    18	   6183.708	          2
 1981	     3	    19	   5858.188	          2
 1981	     3	    20	   5554.901	          2
 1981	     3	    21	   5258.245	          2
 1981	     3	    22	   4854.195	          2
 1981	     3	    23	   4367.886	          2
 1981	     3	    24	   4033.488	          2
 1981	     3	    25	   3838.109	          2
 1981	     3	    26	   3722.794	          2
 1981	     3	    27	   3672.006	          2
 1981	     3	    28	   3684.676	          2
 1981	     3	    29	   3697.364	          2
 1981	     3	    30	   3710.070	          2
 1981	     3	    31	   3684.676	          2
 1981	     4	     1	   3634.102	          2
 1981	     4	     2	   3596.360	          2
 1981	     4	     3	   3583.815	          2
 1981	     4	     4	   3672.006	          2
 1981	     4	     5	   3773.867	          2
 1981	     4	     6	   3748.295	          2
 1981	     4	     7	   3786.680	          2
 1981	     4	     8	   3902.794	          2
 1981	     4	     9	   4046.654	          2
 1981	     4	    10	   4219.408	          2
 1981	     4	    11	   4546.061	          2
 1981	     4	    12	   4840.009	          2
 1981	     4	    13	   5155.995	          2
 1981	     4	    14	   5554.901	          2
 1981	     4	    15	   6105.550	          2
 1981	     4	    16	   6872.545	          2
 1981	     4	    17	   7336.981	          2
 1981	     4	    18	   7505.854	          2
 1981	     4	    19	   7710.572	          2
 1981	     4	    20	   7882.890	          2
 1981	     4	    21	   7969.632	          2
 1981	     4	    22	   7987.027	          2
 1981	     4	    23	   7934.888	          2
 1981	     4	    24	   7865.588	          2
 1981	     4	    25	   7813.775	          2
 1981	     4	    26	   7744.911	          2
 1981	     4	    27	   7710.572	          2
 1981	     4	    28	   7796.536	          2
 1981	     4	    29	   7952.252	          2
 1981	     4	    30	   8074.235	          2
 1981	     5	     1	   8285.114	          2
 1981	     5	     2	   8426.934	          2
 1981	     5	     3	   8498.213	          2
 1981	     5	     4	   8551.833	          2
 1981	     5	     5	   8623.542	          2
 1981	     5	     6	   8785.781	          2
 1981	     5	     7	   8931.031	          2
 1981	     5	     8	   9169.137	          2
 1981	     5	     9	   9298.408	          2
 1981	     5	    10	   9205.996	          2
 1981	     5	    11	   9113.962	          2
 1981	     5	    12	   9058.923	          2
 1981	     5	    13	   9040.607	          2
 1981	     5	    14	   9004.021	          2
 1981	     5	    15	   8985.751	          2
 1981	     5	    16	   8985.751	          2
 1981	     5	    17	   8931.031	          2
