CABra ID  	 531
ANA ID    	 71200000
Longitude 	 -49.778   	 dd
Latitude  	 -27.803   	 dd
Area      	 1015.69   	 km²
Elevation 	 1187.43   	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	     27.638	          2
 1980	    10	     2	     23.048	          2
 1980	    10	     3	     21.053	          2
 1980	    10	     4	     19.136	          2
 1980	    10	     5	     17.298	          2
 1980	    10	     6	     17.298	          2
 1980	    10	     7	     16.117	          2
 1980	    10	     8	     16.703	          2
 1980	    10	     9	     29.586	          2
 1980	    10	    10	     26.543	          2
 1980	    10	    11	     21.380	          2
 1980	    10	    12	     19.450	          2
 1980	    10	    13	     31.768	          2
 1980	    10	    14	     41.503	          2
 1980	    10	    15	     38.956	          2
 1980	    10	    16	     34.599	          2
 1980	    10	    17	     27.060	          2
 1980	    10	    18	     23.730	          2
 1980	    10	    19	     35.831	          2
 1980	    10	    20	     47.157	          2
 1980	    10	    21	     58.514	          2
 1980	    10	    22	     74.887	          2
 1980	    10	    23	     82.167	          2
 1980	    10	    24	     64.894	          2
 1980	    10	    25	     51.626	          2
 1980	    10	    26	     48.709	          2
 1980	    10	    27	     74.639	          2
 1980	    10	    28	    108.497	          2
 1980	    10	    29	     97.481	          2
 1980	    10	    30	     58.281	          2
 1980	    10	    31	     64.894	          2
 1980	    11	     1	     51.626	          2
 1980	    11	     2	     43.007	          2
 1980	    11	     3	     37.907	          2
 1980	    11	     4	     32.570	          2
 1980	    11	     5	     27.831	          2
 1980	    11	     6	     29.194	          2
 1980	    11	     7	     46.495	          2
 1980	    11	     8	     44.090	          2
 1980	    11	     9	     28.608	          2
 1980	    11	    10	     35.213	          2
 1980	    11	    11	     28.413	          2
 1980	    11	    12	     25.120	          2
 1980	    11	    13	     23.048	          2
 1980	    11	    14	     20.405	          2
 1980	    11	    15	     16.703	          2
 1980	    11	    16	     17.298	          2
 1980	    11	    17	     17.298	          2
 1980	    11	    18	     16.703	          2
 1980	    11	    19	     14.972	          2
 1980	    11	    20	     14.413	          2
 1980	    11	    21	     13.863	          2
 1980	    11	    22	     13.322	          2
 1980	    11	    23	     15.827	          2
 1980	    11	    24	     16.409	          2
 1980	    11	    25	     14.972	          2
 1980	    11	    26	     13.056	          2
 1980	    11	    27	     11.756	          2
 1980	    11	    28	     11.253	          2
 1980	    11	    29	     12.529	          2
 1980	    11	    30	     27.060	          2
 1980	    12	     1	     21.053	          2
 1980	    12	     2	     32.772	          2
 1980	    12	     3	    136.259	          2
 1980	    12	     4	    179.903	          2
 1980	    12	     5	    131.666	          2
 1980	    12	     6	    108.497	          2
 1980	    12	     7	     94.840	          2
 1980	    12	     8	     84.716	          2
 1980	    12	     9	     70.212	          2
 1980	    12	    10	     57.583	          2
 1980	    12	    11	     52.759	          2
 1980	    12	    12	     45.836	          2
 1980	    12	    13	     38.956	          2
 1980	    12	    14	     29.390	          2
 1980	    12	    15	     23.388	          2
 1980	    12	    16	     21.709	          2
 1980	    12	    17	     19.136	          2
 1980	    12	    18	     17.298	          2
 1980	    12	    19	     33.784	          2
 1980	    12	    20	     57.351	          2
 1980	    12	    21	    179.594	          2
 1980	    12	    22	    227.380	          2
 1980	    12	    23	    213.072	          2
 1980	    12	    24	    207.607	          2
 1980	    12	    25	    208.248	          2
 1980	    12	    26	    195.522	          2
 1980	    12	    27	    175.281	          2
 1980	    12	    28	    165.827	          2
 1980	    12	    29	    173.441	          2
 1980	    12	    30	    162.203	          2
 1980	    12	    31	    151.453	          2
 1981	     1	     1	    145.268	          2
 1981	     1	     2	    126.547	          2
 1981	     1	     3	    107.681	          2
 1981	     1	     4	     95.103	          2
 1981	     1	     5	    100.942	          2
 1981	     1	     6	     76.879	          2
 1981	     1	     7	     61.329	          2
 1981	     1	     8	     62.749	          2
 1981	     1	     9	     47.599	          2
 1981	     1	    10	     36.243	          2
 1981	     1	    11	     32.772	          2
 1981	     1	    12	     29.980	          2
 1981	     1	    13	     26.868	          2
 1981	     1	    14	     34.395	          2
 1981	     1	    15	     40.013	          2
 1981	     1	    16	     34.803	          2
 1981	     1	    17	     33.176	          2
 1981	     1	    18	     26.868	          2
 1981	     1	    19	     31.768	          2
 1981	     1	    20	     61.093	          2
 1981	     1	    21	     63.700	          2
 1981	     1	    22	     40.013	          2
 1981	     1	    23	     31.768	          2
 1981	     1	    24	     26.868	          2
 1981	     1	    25	     23.388	          2
 1981	     1	    26	     21.380	          2
 1981	     1	    27	     19.766	          2
 1981	     1	    28	     18.514	          2
 1981	     1	    29	     16.999	          2
 1981	     1	    30	     21.709	          2
 1981	     1	    31	     30.375	          2
 1981	     2	     1	     24.421	          2
 1981	     2	     2	     20.405	          2
 1981	     2	     3	     31.768	          2
 1981	     2	     4	     37.907	          2
 1981	     2	     5	     30.771	          2
 1981	     2	     6	     35.213	          2
 1981	     2	     7	     43.873	          2
 1981	     2	     8	     38.326	          2
 1981	     2	     9	     28.608	          2
 1981	     2	    10	     34.395	          2
 1981	     2	    11	     36.865	          2
 1981	     2	    12	     38.116	          2
 1981	     2	    13	     32.772	          2
 1981	     2	    14	     69.480	          2
 1981	     2	    15	     94.840	          2
 1981	     2	    16	     54.355	          2
 1981	     2	    17	     44.307	          2
