CABra ID  	 572
ANA ID    	 81200000
Longitude 	 -49.000   	 dd
Latitude  	 -24.656   	 dd
Area      	 7384.91   	 km²
Elevation 	 755.71    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	    106.429	          2
 1980	    10	     2	    102.518	          2
 1980	    10	     3	     99.934	          2
 1980	    10	     4	     96.092	          2
 1980	    10	     5	     93.555	          2
 1980	    10	     6	     92.294	          2
 1980	    10	     7	     93.555	          2
 1980	    10	     8	    122.475	          2
 1980	    10	     9	    132.121	          2
 1980	    10	    10	    114.372	          2
 1980	    10	    11	    102.518	          2
 1980	    10	    12	    106.429	          2
 1980	    10	    13	    111.707	          2
 1980	    10	    14	    103.817	          2
 1980	    10	    15	    103.817	          2
 1980	    10	    16	     99.934	          2
 1980	    10	    17	     96.092	          2
 1980	    10	    18	     93.555	          2
 1980	    10	    19	     94.821	          2
 1980	    10	    20	     94.821	          2
 1980	    10	    21	     97.368	          2
 1980	    10	    22	     93.555	          2
 1980	    10	    23	     89.785	          2
 1980	    10	    24	     88.538	          2
 1980	    10	    25	     87.297	          2
 1980	    10	    26	     87.297	          2
 1980	    10	    27	     97.368	          2
 1980	    10	    28	    113.037	          2
 1980	    10	    29	    106.429	          2
 1980	    10	    30	     94.821	          2
 1980	    10	    31	     89.785	          2
 1980	    11	     1	     87.297	          2
 1980	    11	     2	     84.828	          2
 1980	    11	     3	     84.828	          2
 1980	    11	     4	     82.379	          2
 1980	    11	     5	     82.379	          2
 1980	    11	     6	     83.601	          2
 1980	    11	     7	     87.297	          2
 1980	    11	     8	     87.297	          2
 1980	    11	     9	     94.821	          2
 1980	    11	    10	    107.741	          2
 1980	    11	    11	     97.368	          2
 1980	    11	    12	     87.297	          2
 1980	    11	    13	     83.601	          2
 1980	    11	    14	     82.379	          2
 1980	    11	    15	     79.950	          2
 1980	    11	    16	     77.542	          2
 1980	    11	    17	     77.542	          2
 1980	    11	    18	     77.542	          2
 1980	    11	    19	     77.542	          2
 1980	    11	    20	     77.542	          2
 1980	    11	    21	     77.542	          2
 1980	    11	    22	     77.542	          2
 1980	    11	    23	     83.601	          2
 1980	    11	    24	     89.785	          2
 1980	    11	    25	    118.404	          2
 1980	    11	    26	     91.037	          2
 1980	    11	    27	     82.379	          2
 1980	    11	    28	     78.744	          2
 1980	    11	    29	     76.346	          2
 1980	    11	    30	     92.294	          2
 1980	    12	     1	    117.056	          2
 1980	    12	     2	    103.817	          2
 1980	    12	     3	    136.318	          2
 1980	    12	     4	    137.725	          2
 1980	    12	     5	    143.393	          2
 1980	    12	     6	    175.681	          2
 1980	    12	     7	    111.707	          2
 1980	    12	     8	    102.518	          2
 1980	    12	     9	     91.037	          2
 1980	    12	    10	     87.297	          2
 1980	    12	    11	     99.934	          2
 1980	    12	    12	    172.670	          2
 1980	    12	    13	    174.174	          2
 1980	    12	    14	    137.725	          2
 1980	    12	    15	    113.037	          2
 1980	    12	    16	     98.648	          2
 1980	    12	    17	     89.785	          2
 1980	    12	    18	     84.828	          2
 1980	    12	    19	     82.379	          2
 1980	    12	    20	    140.551	          2
 1980	    12	    21	    137.725	          2
 1980	    12	    22	   1214.207	          2
 1980	    12	    23	    659.104	          2
 1980	    12	    24	    298.284	          2
 1980	    12	    25	    189.407	          2
 1980	    12	    26	    157.841	          2
 1980	    12	    27	    133.516	          2
 1980	    12	    28	    144.820	          2
 1980	    12	    29	    156.378	          2
 1980	    12	    30	    206.571	          2
 1980	    12	    31	    141.970	          2
 1981	     1	     1	    126.584	          2
 1981	     1	     2	    115.712	          2
 1981	     1	     3	    110.380	          2
 1981	     1	     4	    114.372	          2
 1981	     1	     5	    216.107	          2
 1981	     1	     6	    291.302	          2
 1981	     1	     7	    286.097	          2
 1981	     1	     8	    488.810	          2
 1981	     1	     9	    447.074	          2
 1981	     1	    10	    339.312	          2
 1981	     1	    11	    219.312	          2
 1981	     1	    12	    227.384	          2
 1981	     1	    13	    177.192	          2
 1981	     1	    14	    156.378	          2
 1981	     1	    15	    217.708	          2
 1981	     1	    16	    168.182	          2
 1981	     1	    17	    150.568	          2
 1981	     1	    18	    197.157	          2
 1981	     1	    19	    206.571	          2
 1981	     1	    20	    214.509	          2
 1981	     1	    21	    277.480	          2
 1981	     1	    22	    216.107	          2
 1981	     1	    23	    171.171	          2
 1981	     1	    24	    152.015	          2
 1981	     1	    25	    146.251	          2
 1981	     1	    26	    146.251	          2
 1981	     1	    27	    139.136	          2
 1981	     1	    28	    127.962	          2
 1981	     1	    29	    121.113	          2
 1981	     1	    30	    118.404	          2
 1981	     1	    31	    139.136	          2
 1981	     2	     1	    126.584	          2
 1981	     2	     2	    115.712	          2
 1981	     2	     3	    115.712	          2
 1981	     2	     4	    129.344	          2
 1981	     2	     5	    136.318	          2
 1981	     2	     6	    157.841	          2
 1981	     2	     7	    134.915	          2
 1981	     2	     8	    117.056	          2
 1981	     2	     9	    115.712	          2
 1981	     2	    10	    110.380	          2
 1981	     2	    11	    117.056	          2
 1981	     2	    12	    119.757	          2
 1981	     2	    13	    117.056	          2
 1981	     2	    14	    115.712	          2
 1981	     2	    15	    110.380	          2
 1981	     2	    16	    115.712	          2
 1981	     2	    17	    106.429	          2
 1981	     2	    18	    102.518	          2
 1981	     2	    19	     99.934	          2
 1981	     2	    20	     99.934	          2
 1981	     2	    21	    113.037	          2
 1981	     2	    22	    118.404	          2
 1981	     2	    23	    114.372	          2
 1981	     2	    24	    106.429	          2
 1981	     2	    25	     99.934	          2
 1981	     2	    26	    123.840	          2
 1981	     2	    27	    115.712	          2
 1981	     2	    28	    106.429	          2
 1981	     3	     1	    102.518	          2
 1981	     3	     2	     97.368	          2
 1981	     3	     3	     97.368	          2
 1981	     3	     4	    111.707	          2
 1981	     3	     5	    102.518	          2
 1981	     3	     6	     97.368	          2
 1981	     3	     7	     97.368	          2
 1981	     3	     8	     97.368	          2
 1981	     3	     9	    111.707	          2
 1981	     3	    10	     96.092	          2
 1981	     3	    11	     94.821	          2
 1981	     3	    12	     94.821	          2
 1981	     3	    13	     92.294	          2
 1981	     3	    14	     89.785	          2
 1981	     3	    15	     89.785	          2
 1981	     3	    16	     92.294	          2
 1981	     3	    17	    105.120	          2
 1981	     3	    18	     99.934	          2
 1981	     3	    19	     93.555	          2
 1981	     3	    20	     92.294	          2
 1981	     3	    21	     89.785	          2
 1981	     3	    22	     87.297	          2
 1981	     3	    23	     87.297	          2
 1981	     3	    24	     84.828	          2
 1981	     3	    25	     84.828	          2
 1981	     3	    26	     84.828	          2
 1981	     3	    27	     84.828	          2
 1981	     3	    28	     88.538	          2
 1981	     3	    29	     99.934	          2
 1981	     3	    30	     97.368	          2
 1981	     3	    31	     87.297	          2
 1981	     4	     1	     84.828	          2
 1981	     4	     2	     84.828	          2
 1981	     4	     3	     82.379	          2
 1981	     4	     4	     81.162	          2
 1981	     4	     5	     79.950	          2
 1981	     4	     6	     79.950	          2
 1981	     4	     7	     79.950	          2
 1981	     4	     8	     79.950	          2
 1981	     4	     9	     77.542	          2
 1981	     4	    10	     77.542	          2
 1981	     4	    11	     77.542	          2
 1981	     4	    12	     77.542	          2
 1981	     4	    13	     76.346	          2
 1981	     4	    14	     75.155	          2
 1981	     4	    15	     75.155	          2
 1981	     4	    16	    101.223	          2
 1981	     4	    17	     99.934	          2
 1981	     4	    18	     87.297	          2
 1981	     4	    19	     82.379	          2
 1981	     4	    20	     79.950	          2
 1981	     4	    21	     79.950	          2
 1981	     4	    22	     79.950	          2
 1981	     4	    23	     77.542	          2
 1981	     4	    24	     91.037	          2
 1981	     4	    25	     87.297	          2
 1981	     4	    26	     84.828	          2
 1981	     4	    27	    111.707	          2
 1981	     4	    28	    141.970	          2
 1981	     4	    29	    113.037	          2
 1981	     4	    30	     92.294	          2
 1981	     5	     1	     84.828	          2
 1981	     5	     2	     82.379	          2
 1981	     5	     3	     79.950	          2
 1981	     5	     4	     97.368	          2
 1981	     5	     5	    117.056	          2
 1981	     5	     6	     98.648	          2
 1981	     5	     7	     87.297	          2
 1981	     5	     8	     82.379	          2
 1981	     5	     9	     79.950	          2
 1981	     5	    10	     79.950	          2
 1981	     5	    11	     78.744	          2
 1981	     5	    12	     78.744	          2
 1981	     5	    13	     77.542	          2
 1981	     5	    14	     77.542	          2
 1981	     5	    15	     77.542	          2
 1981	     5	    16	     75.155	          2
 1981	     5	    17	     75.155	          2
 1981	     5	    18	     78.744	          2
 1981	     5	    19	     82.379	          2
 1981	     5	    20	     79.950	          2
 1981	     5	    21	     79.950	          2
 1981	     5	    22	     77.542	          2
 1981	     5	    23	     76.346	          2
 1981	     5	    24	     75.155	          2
 1981	     5	    25	     75.155	          2
 1981	     5	    26	     75.155	          2
 1981	     5	    27	     75.155	          2
 1981	     5	    28	     75.155	          2
 1981	     5	    29	     75.155	          2
 1981	     5	    30	     75.155	          2
 1981	     5	    31	     73.969	          2
 1981	     6	     1	     73.969	          2
 1981	     6	     2	     72.789	          2
 1981	     6	     3	     72.789	          2
 1981	     6	     4	     75.155	          2
 1981	     6	     5	     76.346	          2
 1981	     6	     6	     79.950	          2
 1981	     6	     7	     83.601	          2
 1981	     6	     8	     79.950	          2
 1981	     6	     9	     76.346	          2
 1981	     6	    10	     72.789	          2
 1981	     6	    11	     72.789	          2
 1981	     6	    12	     72.789	          2
 1981	     6	    13	     76.346	          2
 1981	     6	    14	     78.744	          2
 1981	     6	    15	     75.155	          2
 1981	     6	    16	     77.542	          2
 1981	     6	    17	     79.950	          2
 1981	     6	    18	     76.346	          2
 1981	     6	    19	     71.614	          2
 1981	     6	    20	     71.614	          2
 1981	     6	    21	     71.614	          2
 1981	     6	    22	     71.614	          2
 1981	     6	    23	     71.614	          2
 1981	     6	    24	     71.614	          2
 1981	     6	    25	     71.614	          2
 1981	     6	    26	     71.614	          2
 1981	     6	    27	     70.445	          2
