CABra ID  	 627
ANA ID    	 31490000
Longitude 	 -47.055   	 dd
Latitude  	 -1.867    	 dd
Area      	 3364.02   	 km²
Elevation 	 74.22     	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	     34.672	          1
 1980	    10	     2	     34.255	          1
 1980	    10	     3	     33.841	          1
 1980	    10	     4	     32.614	          1
 1980	    10	     5	     31.809	          1
 1980	    10	     6	     30.622	          1
 1980	    10	     7	     29.844	          1
 1980	    10	     8	     29.459	          1
 1980	    10	     9	     29.459	          1
 1980	    10	    10	     29.844	          1
 1980	    10	    11	     30.232	          1
 1980	    10	    12	     30.622	          1
 1980	    10	    13	     30.622	          1
 1980	    10	    14	     30.622	          1
 1980	    10	    15	     29.844	          1
 1980	    10	    16	     29.076	          1
 1980	    10	    17	     27.944	          1
 1980	    10	    18	     27.572	          1
 1980	    10	    19	     27.203	          1
 1980	    10	    20	     26.472	          1
 1980	    10	    21	     26.110	          1
 1980	    10	    22	     25.751	          1
 1980	    10	    23	     25.751	          1
 1980	    10	    24	     25.751	          1
 1980	    10	    25	     25.395	          1
 1980	    10	    26	     24.690	          1
 1980	    10	    27	     25.395	          1
 1980	    10	    28	     25.751	          1
 1980	    10	    29	     25.041	          1
 1980	    10	    30	     24.690	          1
 1980	    10	    31	     24.341	          1
 1980	    11	     1	     23.996	          1
 1980	    11	     2	     23.312	          1
 1980	    11	     3	     22.638	          1
 1980	    11	     4	     22.305	          1
 1980	    11	     5	     21.975	          1
 1980	    11	     6	     21.647	          1
 1980	    11	     7	     21.322	          1
 1980	    11	     8	     21.000	          1
 1980	    11	     9	     20.680	          1
 1980	    11	    10	     20.362	          1
 1980	    11	    11	     20.362	          1
 1980	    11	    12	     20.680	          1
 1980	    11	    13	     21.000	          1
 1980	    11	    14	     21.322	          1
 1980	    11	    15	     21.000	          1
 1980	    11	    16	     22.305	          1
 1980	    11	    17	     23.312	          1
 1980	    11	    18	     26.472	          1
 1980	    11	    19	     30.622	          1
 1980	    11	    20	     33.020	          1
 1980	    11	    21	     35.091	          1
 1980	    11	    22	     33.429	          1
 1980	    11	    23	     33.020	          1
 1980	    11	    24	     32.210	          1
 1980	    11	    25	     31.015	          1
 1980	    11	    26	     28.319	          1
 1980	    11	    27	     24.690	          1
 1980	    11	    28	     23.312	          1
 1980	    11	    29	     22.638	          1
 1980	    11	    30	     21.975	          1
 1980	    12	     1	     21.322	          1
 1980	    12	     2	     20.680	          1
 1980	    12	     3	     20.362	          1
 1980	    12	     4	     20.048	          1
 1980	    12	     5	     19.735	          1
 1980	    12	     6	     18.814	          1
 1980	    12	     7	     18.512	          1
 1980	    12	     8	     18.213	          1
 1980	    12	     9	     17.916	          1
 1980	    12	    10	     18.814	          1
 1980	    12	    11	     18.814	          1
 1980	    12	    12	     18.213	          1
 1980	    12	    13	     18.213	          1
 1980	    12	    14	     17.916	          1
 1980	    12	    15	     17.330	          1
 1980	    12	    16	     17.330	          1
 1980	    12	    17	     17.041	          1
 1980	    12	    18	     17.041	          1
 1980	    12	    19	     16.471	          1
 1980	    12	    20	     16.471	          1
 1980	    12	    21	     17.622	          1
 1980	    12	    22	     19.119	          1
 1980	    12	    23	     18.814	          1
 1980	    12	    24	     20.362	          1
 1980	    12	    25	     22.305	          1
 1980	    12	    26	     24.690	          1
 1980	    12	    27	     25.395	          1
 1980	    12	    28	     27.572	          1
 1980	    12	    29	     31.411	          1
 1980	    12	    30	     31.411	          1
 1980	    12	    31	     31.015	          1
 1981	     1	     1	     31.015	          1
 1981	     1	     2	     30.232	          1
 1981	     1	     3	     29.459	          1
 1981	     1	     4	     28.696	          1
 1981	     1	     5	     27.203	          1
 1981	     1	     6	     25.751	          1
 1981	     1	     7	     25.041	          1
 1981	     1	     8	     27.203	          1
 1981	     1	     9	     30.232	          1
 1981	     1	    10	     33.020	          1
 1981	     1	    11	     33.429	          1
 1981	     1	    12	     31.411	          1
 1981	     1	    13	     31.809	          1
 1981	     1	    14	     31.015	          1
 1981	     1	    15	     31.411	          1
 1981	     1	    16	     35.514	          1
 1981	     1	    17	     38.544	          1
 1981	     1	    18	     49.740	          1
