CABra ID  	 629
ANA ID    	 31600000
Longitude 	 -47.116   	 dd
Latitude  	 -1.653    	 dd
Area      	 31.83     	 km²
Elevation 	 77.32     	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	      1.040	          1
 1980	    10	     2	      1.040	          1
 1980	    10	     3	      1.040	          1
 1980	    10	     4	      1.040	          1
 1980	    10	     5	      1.040	          1
 1980	    10	     6	      1.040	          1
 1980	    10	     7	      0.940	          1
 1980	    10	     8	      0.940	          1
 1980	    10	     9	      1.040	          1
 1980	    10	    10	      1.040	          1
 1980	    10	    11	      1.040	          1
 1980	    10	    12	      1.040	          1
 1980	    10	    13	      0.940	          1
 1980	    10	    14	      0.940	          1
 1980	    10	    15	      0.940	          1
 1980	    10	    16	      0.940	          1
 1980	    10	    17	      0.940	          1
 1980	    10	    18	      0.940	          1
 1980	    10	    19	      0.940	          1
 1980	    10	    20	      0.940	          1
 1980	    10	    21	      0.940	          1
 1980	    10	    22	      0.940	          1
 1980	    10	    23	      1.040	          1
 1980	    10	    24	      0.940	          1
 1980	    10	    25	      0.940	          1
 1980	    10	    26	      0.940	          1
 1980	    10	    27	      0.940	          1
 1980	    10	    28	      0.940	          1
 1980	    10	    29	      0.940	          1
 1980	    10	    30	      0.940	          1
 1980	    10	    31	      0.940	          1
 1980	    11	     1	      0.840	          1
 1980	    11	     2	      0.840	          1
 1980	    11	     3	      0.840	          1
 1980	    11	     4	      0.940	          1
 1980	    11	     5	      0.840	          1
 1980	    11	     6	      0.840	          1
 1980	    11	     7	      0.840	          1
 1980	    11	     8	      0.840	          1
 1980	    11	     9	      0.840	          1
 1980	    11	    10	      0.840	          1
 1980	    11	    11	      1.140	          1
 1980	    11	    12	      1.040	          1
 1980	    11	    13	      0.840	          1
 1980	    11	    14	      0.840	          1
 1980	    11	    15	      0.840	          1
 1980	    11	    16	      0.840	          1
 1980	    11	    17	      0.840	          1
 1980	    11	    18	      0.840	          1
 1980	    11	    19	      0.840	          1
 1980	    11	    20	      0.840	          1
 1980	    11	    21	      0.840	          1
 1980	    11	    22	      0.840	          1
 1980	    11	    23	      0.840	          1
 1980	    11	    24	      0.840	          1
 1980	    11	    25	      0.840	          1
 1980	    11	    26	      0.840	          1
 1980	    11	    27	      0.840	          1
 1980	    11	    28	      0.840	          1
 1980	    11	    29	      0.840	          1
 1980	    11	    30	      0.840	          1
 1980	    12	     1	      0.840	          1
 1980	    12	     2	      0.840	          1
 1980	    12	     3	      0.840	          1
 1980	    12	     4	      0.840	          1
 1980	    12	     5	      0.840	          1
 1980	    12	     6	      0.840	          1
 1980	    12	     7	      0.840	          1
 1980	    12	     8	      0.740	          1
 1980	    12	     9	      0.740	          1
 1980	    12	    10	      0.740	          1
 1980	    12	    11	      0.740	          1
 1980	    12	    12	      0.740	          1
 1980	    12	    13	      0.740	          1
 1980	    12	    14	      0.740	          1
 1980	    12	    15	      0.740	          1
 1980	    12	    16	      0.740	          1
 1980	    12	    17	      0.740	          1
 1980	    12	    18	      0.740	          1
 1980	    12	    19	      0.740	          1
 1980	    12	    20	      0.740	          1
 1980	    12	    21	      0.740	          1
 1980	    12	    22	      0.740	          1
 1980	    12	    23	      0.740	          1
 1980	    12	    24	      0.940	          1
 1980	    12	    25	      0.740	          1
 1980	    12	    26	      0.740	          1
 1980	    12	    27	      0.740	          1
 1980	    12	    28	      0.740	          1
 1980	    12	    29	      0.740	          1
 1980	    12	    30	      0.740	          1
 1980	    12	    31	      0.740	          1
 1981	     1	     1	      0.740	          1
 1981	     1	     2	      0.740	          1
 1981	     1	     3	      0.740	          1
 1981	     1	     4	      0.740	          1
 1981	     1	     5	      0.740	          1
 1981	     1	     6	      0.740	          1
 1981	     1	     7	      0.740	          1
 1981	     1	     8	      0.740	          1
 1981	     1	     9	      0.740	          1
 1981	     1	    10	      0.740	          1
 1981	     1	    11	      0.740	          1
 1981	     1	    12	      0.840	          1
 1981	     1	    13	      0.840	          1
 1981	     1	    14	      0.840	          1
 1981	     1	    15	      0.740	          1
 1981	     1	    16	      0.740	          1
 1981	     1	    17	      0.740	          1
 1981	     1	    18	      0.740	          1
 1981	     1	    19	      0.740	          1
 1981	     1	    20	      0.740	          1
 1981	     1	    21	      0.679	          1
 1981	     1	    22	      0.679	          1
 1981	     1	    23	      0.840	          1
 1981	     1	    24	      0.840	          1
 1981	     1	    25	      1.240	          1
 1981	     1	    26	      0.940	          1
 1981	     1	    27	      0.840	          1
 1981	     1	    28	      0.840	          1
 1981	     1	    29	      0.740	          1
 1981	     1	    30	      0.740	          1
 1981	     1	    31	      0.740	          1
 1981	     2	     1	      0.740	          1
 1981	     2	     2	      0.940	          1
 1981	     2	     3	      0.940	          1
 1981	     2	     4	      0.940	          1
 1981	     2	     5	      1.040	          1
 1981	     2	     6	      1.140	          1
 1981	     2	     7	      0.940	          1
 1981	     2	     8	      1.040	          1
 1981	     2	     9	      0.840	          1
 1981	     2	    10	      0.740	          1
 1981	     2	    11	      0.740	          1
 1981	     2	    12	      1.040	          1
 1981	     2	    13	      0.940	          1
 1981	     2	    14	      0.740	          1
 1981	     2	    15	      0.840	          1
 1981	     2	    16	      0.740	          1
 1981	     2	    17	      0.740	          1
 1981	     2	    18	      0.679	          1
 1981	     2	    19	      0.740	          1
 1981	     2	    20	      0.740	          1
 1981	     2	    21	      0.740	          1
 1981	     2	    22	      0.740	          1
 1981	     2	    23	      0.740	          1
 1981	     2	    24	      0.740	          1
 1981	     2	    25	      0.740	          1
 1981	     2	    26	      0.740	          1
 1981	     2	    27	      0.740	          1
 1981	     2	    28	      0.740	          1
 1981	     3	     1	      0.679	          1
 1981	     3	     2	      0.679	          1
 1981	     3	     3	      0.679	          1
 1981	     3	     4	      0.679	          1
 1981	     3	     5	      0.679	          1
 1981	     3	     6	      0.740	          1
 1981	     3	     7	      0.740	          1
 1981	     3	     8	      0.679	          1
 1981	     3	     9	      0.679	          1
 1981	     3	    10	      0.679	          1
 1981	     3	    11	      0.679	          1
 1981	     3	    12	      0.679	          1
 1981	     3	    13	      0.679	          1
 1981	     3	    14	      0.679	          1
 1981	     3	    15	      0.679	          1
 1981	     3	    16	      0.679	          1
 1981	     3	    17	      0.679	          1
 1981	     3	    18	      0.940	          1
 1981	     3	    19	      0.740	          1
 1981	     3	    20	      0.740	          1
 1981	     3	    21	      0.740	          1
 1981	     3	    22	      0.679	          1
 1981	     3	    23	      0.679	          1
 1981	     3	    24	      0.679	          1
 1981	     3	    25	      0.940	          1
 1981	     3	    26	      0.840	          1
 1981	     3	    27	      0.840	          1
 1981	     3	    28	      0.840	          1
 1981	     3	    29	      0.940	          1
 1981	     3	    30	      0.840	          1
 1981	     3	    31	      0.740	          1
 1981	     4	     1	      0.740	          1
 1981	     4	     2	      0.840	          1
 1981	     4	     3	      0.940	          1
 1981	     4	     4	      0.940	          1
 1981	     4	     5	      0.840	          1
 1981	     4	     6	      0.679	          1
 1981	     4	     7	      0.679	          1
 1981	     4	     8	      0.679	          1
 1981	     4	     9	      0.679	          1
 1981	     4	    10	      0.679	          1
 1981	     4	    11	      0.679	          1
 1981	     4	    12	      0.679	          1
 1981	     4	    13	      0.679	          1
 1981	     4	    14	      0.679	          1
 1981	     4	    15	      0.679	          1
 1981	     4	    16	      0.679	          1
 1981	     4	    17	      0.840	          1
 1981	     4	    18	      0.840	          1
 1981	     4	    19	      0.740	          1
 1981	     4	    20	      0.679	          1
 1981	     4	    21	      0.740	          1
 1981	     4	    22	      0.740	          1
 1981	     4	    23	      0.740	          1
 1981	     4	    24	      0.679	          1
 1981	     4	    25	      0.679	          1
 1981	     4	    26	      0.679	          1
 1981	     4	    27	      0.679	          1
 1981	     4	    28	      0.679	          1
 1981	     4	    29	      0.679	          1
 1981	     4	    30	      0.679	          1
 1981	     5	     1	      0.679	          1
 1981	     5	     2	      0.840	          1
 1981	     5	     3	      0.840	          1
 1981	     5	     4	      0.740	          1
 1981	     5	     5	      0.679	          1
 1981	     5	     6	      0.679	          1
 1981	     5	     7	      0.840	          1
 1981	     5	     8	      0.679	          1
 1981	     5	     9	      0.940	          1
 1981	     5	    10	      0.679	          1
 1981	     5	    11	      0.679	          1
 1981	     5	    12	      0.679	          1
 1981	     5	    13	      0.740	          1
 1981	     5	    14	      0.740	          1
 1981	     5	    15	      0.740	          1
 1981	     5	    16	      0.940	          1
 1981	     5	    17	      1.040	          1
 1981	     5	    18	      0.840	          1
 1981	     5	    19	      0.940	          1
 1981	     5	    20	      0.840	          1
 1981	     5	    21	      0.740	          1
 1981	     5	    22	      0.840	          1
 1981	     5	    23	      0.740	          1
 1981	     5	    24	      0.740	          1
 1981	     5	    25	      0.740	          1
 1981	     5	    26	      0.840	          1
 1981	     5	    27	      0.940	          1
 1981	     5	    28	      0.940	          1
 1981	     5	    29	      0.840	          1
 1981	     5	    30	      0.840	          1
 1981	     5	    31	      0.740	          1
 1981	     6	     1	      0.740	          1
 1981	     6	     2	      0.940	          1
 1981	     6	     3	      0.940	          1
 1981	     6	     4	      0.840	          1
 1981	     6	     5	      0.840	          1
 1981	     6	     6	      0.740	          1
 1981	     6	     7	      0.740	          1
 1981	     6	     8	      0.740	          1
 1981	     6	     9	      0.840	          1
 1981	     6	    10	      0.940	          1
 1981	     6	    11	      0.940	          1
 1981	     6	    12	      0.840	          1
 1981	     6	    13	      0.840	          1
 1981	     6	    14	      0.840	          1
 1981	     6	    15	      0.940	          1
 1981	     6	    16	      0.940	          1
 1981	     6	    17	      0.740	          1
 1981	     6	    18	      0.740	          1
 1981	     6	    19	      0.840	          1
 1981	     6	    20	      0.740	          1
 1981	     6	    21	      0.679	          1
 1981	     6	    22	      0.740	          1
 1981	     6	    23	      0.740	          1
 1981	     6	    24	      0.679	          1
 1981	     6	    25	      0.679	          1
 1981	     6	    26	      0.679	          1
 1981	     6	    27	      0.679	          1
 1981	     6	    28	      0.740	          1
 1981	     6	    29	      0.740	          1
 1981	     6	    30	      0.740	          1
 1981	     7	     1	      0.679	          1
 1981	     7	     2	      0.679	          1
 1981	     7	     3	      0.679	          1
 1981	     7	     4	      0.679	          1
 1981	     7	     5	      0.618	          1
 1981	     7	     6	      0.618	          1
 1981	     7	     7	      0.618	          1
 1981	     7	     8	      0.618	          1
 1981	     7	     9	      0.618	          1
 1981	     7	    10	      0.618	          1
 1981	     7	    11	      0.618	          1
 1981	     7	    12	      0.618	          1
 1981	     7	    13	      0.618	          1
 1981	     7	    14	      0.618	          1
 1981	     7	    15	      0.618	          1
 1981	     7	    16	      0.679	          1
 1981	     7	    17	      0.679	          1
 1981	     7	    18	      0.679	          1
 1981	     7	    19	      0.679	          1
 1981	     7	    20	      0.679	          1
 1981	     7	    21	      0.679	          1
 1981	     7	    22	      0.679	          1
 1981	     7	    23	      0.679	          1
 1981	     7	    24	      0.679	          1
 1981	     7	    25	      0.679	          1
 1981	     7	    26	      0.679	          1
 1981	     7	    27	      0.679	          1
 1981	     7	    28	      0.679	          1
 1981	     7	    29	      0.679	          1
 1981	     7	    30	      0.740	          1
 1981	     7	    31	      0.740	          1
 1981	     8	     1	      0.679	          1
 1981	     8	     2	      0.679	          1
 1981	     8	     3	      0.679	          1
 1981	     8	     4	      0.679	          1
 1981	     8	     5	      0.679	          1
 1981	     8	     6	      0.679	          1
 1981	     8	     7	      0.618	          1
 1981	     8	     8	      0.618	          1
 1981	     8	     9	      0.618	          1
 1981	     8	    10	      0.618	          1
 1981	     8	    11	      0.618	          1
 1981	     8	    12	      0.618	          1
 1981	     8	    13	      0.618	          1
 1981	     8	    14	      0.618	          1
 1981	     8	    15	      0.618	          1
 1981	     8	    16	      0.618	          1
 1981	     8	    17	      0.618	          1
 1981	     8	    18	      0.618	          1
 1981	     8	    19	      0.618	          1
 1981	     8	    20	      0.618	          1
 1981	     8	    21	      0.618	          1
 1981	     8	    22	      0.618	          1
 1981	     8	    23	      0.618	          1
 1981	     8	    24	      0.618	          1
 1981	     8	    25	      0.618	          1
 1981	     8	    26	      0.618	          1
 1981	     8	    27	      0.618	          1
 1981	     8	    28	      0.618	          1
 1981	     8	    29	      0.618	          1
 1981	     8	    30	      0.558	          1
 1981	     8	    31	      0.558	          1
 1981	     9	     1	      0.558	          1
 1981	     9	     2	      0.558	          1
 1981	     9	     3	      0.618	          1
 1981	     9	     4	      0.618	          1
 1981	     9	     5	      0.618	          1
 1981	     9	     6	      0.618	          1
 1981	     9	     7	      0.558	          1
 1981	     9	     8	      0.679	          1
 1981	     9	     9	      0.618	          1
 1981	     9	    10	      0.558	          1
 1981	     9	    11	      0.558	          1
 1981	     9	    12	      0.558	          1
 1981	     9	    13	      0.558	          1
 1981	     9	    14	      0.558	          1
 1981	     9	    15	      0.558	          1
 1981	     9	    16	      0.558	          1
 1981	     9	    17	      0.558	          1
 1981	     9	    18	      0.618	          1
 1981	     9	    19	      0.558	          1
 1981	     9	    20	      0.558	          1
 1981	     9	    21	      0.558	          1
 1981	     9	    22	      0.558	          1
 1981	     9	    23	      0.558	          1
 1981	     9	    24	      0.558	          1
 1981	     9	    25	      0.558	          1
 1981	     9	    26	      0.558	          1
 1981	     9	    27	      0.558	          1
 1981	     9	    28	      0.558	          1
 1981	     9	    29	      0.558	          1
 1981	     9	    30	      0.558	          1
 1981	    10	     1	      0.558	          1
 1981	    10	     2	      0.558	          1
 1981	    10	     3	      0.558	          1
 1981	    10	     4	      0.558	          1
 1981	    10	     5	      0.558	          1
 1981	    10	     6	      0.558	          1
 1981	    10	     7	      0.558	          1
 1981	    10	     8	      0.558	          1
 1981	    10	     9	      0.558	          1
 1981	    10	    10	      0.497	          1
 1981	    10	    11	      0.497	          1
 1981	    10	    12	      0.497	          1
 1981	    10	    13	      0.497	          1
 1981	    10	    14	      0.679	          1
 1981	    10	    15	      0.618	          1
 1981	    10	    16	      0.558	          1
 1981	    10	    17	      0.558	          1
 1981	    10	    18	      0.618	          1
 1981	    10	    19	      0.558	          1
 1981	    10	    20	      0.558	          1
 1981	    10	    21	      0.558	          1
 1981	    10	    22	      0.558	          1
 1981	    10	    23	      0.558	          1
 1981	    10	    24	      0.497	          1
 1981	    10	    25	      0.497	          1
 1981	    10	    26	      0.497	          1
 1981	    10	    27	      0.497	          1
 1981	    10	    28	      0.497	          1
 1981	    10	    29	      0.497	          1
 1981	    10	    30	      0.497	          1
 1981	    10	    31	      0.497	          1
 1981	    11	     1	      0.497	          1
 1981	    11	     2	      0.497	          1
 1981	    11	     3	      0.497	          1
 1981	    11	     4	      0.497	          1
 1981	    11	     5	      0.436	          1
 1981	    11	     6	      0.436	          1
 1981	    11	     7	      0.436	          1
 1981	    11	     8	      0.436	          1
 1981	    11	     9	      0.436	          1
 1981	    11	    10	      0.436	          1
 1981	    11	    11	      0.436	          1
 1981	    11	    12	      0.436	          1
 1981	    11	    13	      0.436	          1
 1981	    11	    14	      0.436	          1
 1981	    11	    15	      0.436	          1
 1981	    11	    16	      0.436	          1
 1981	    11	    17	      0.436	          1
 1981	    11	    18	      0.436	          1
 1981	    11	    19	      0.436	          1
 1981	    11	    20	      0.436	          1
 1981	    11	    21	      0.436	          1
 1981	    11	    22	      0.436	          1
 1981	    11	    23	      0.436	          1
 1981	    11	    24	      0.436	          1
 1981	    11	    25	      0.436	          1
 1981	    11	    26	      0.436	          1
 1981	    11	    27	      0.436	          1
 1981	    11	    28	      0.436	          1
 1981	    11	    29	      0.436	          1
 1981	    11	    30	      0.436	          1
 1981	    12	     1	      0.436	          1
 1981	    12	     2	      0.436	          1
 1981	    12	     3	      0.436	          1
