CABra ID  	 655
ANA ID    	 41135000
Longitude 	 -44.944   	 dd
Latitude  	 -17.370   	 dd
Area      	 62480.04  	 km²
Elevation 	 793.00    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	    832.824	          1
 1980	    10	     2	    844.663	          1
 1980	    10	     3	    868.666	          1
 1980	    10	     4	    893.102	          1
 1980	    10	     5	    893.102	          1
 1980	    10	     6	    880.830	          1
 1980	    10	     7	    868.666	          1
 1980	    10	     8	    868.666	          1
 1980	    10	     9	    880.830	          1
 1980	    10	    10	    880.830	          1
 1980	    10	    11	    880.830	          1
 1980	    10	    12	    880.830	          1
 1980	    10	    13	    930.579	          1
 1980	    10	    14	    943.292	          1
 1980	    10	    15	    943.292	          1
 1980	    10	    16	    905.485	          1
 1980	    10	    17	    956.117	          1
 1980	    10	    18	    930.579	          1
 1980	    10	    19	    943.292	          1
 1980	    10	    20	    943.292	          1
 1980	    10	    21	    844.663	          1
 1980	    10	    22	    868.666	          1
 1980	    10	    23	    943.292	          1
 1980	    10	    24	    930.579	          1
 1980	    10	    25	    943.292	          1
 1980	    10	    26	    880.830	          1
 1980	    10	    27	    930.579	          1
 1980	    10	    28	    956.117	          1
 1980	    10	    29	    943.292	          1
 1980	    10	    30	    893.102	          1
 1980	    10	    31	    905.485	          1
 1980	    11	     1	    930.579	          1
 1980	    11	     2	    917.977	          1
 1980	    11	     3	    917.977	          1
 1980	    11	     4	    893.102	          1
 1980	    11	     5	    809.466	          1
 1980	    11	     6	    905.485	          1
 1980	    11	     7	    956.117	          1
 1980	    11	     8	    956.117	          1
 1980	    11	     9	    995.261	          1
 1980	    11	    10	   1021.920	          1
 1980	    11	    11	   1133.142	          1
 1980	    11	    12	   1221.467	          1
 1980	    11	    13	   1530.022	          1
 1980	    11	    14	   1329.965	          1
 1980	    11	    15	   1133.142	          1
 1980	    11	    16	    943.292	          1
 1980	    11	    17	    969.052	          1
 1980	    11	    18	    943.292	          1
 1980	    11	    19	   1008.534	          1
 1980	    11	    20	   1008.534	          1
 1980	    11	    21	   1035.421	          1
 1980	    11	    22	   1090.567	          1
 1980	    11	    23	   1104.643	          1
 1980	    11	    24	   1021.920	          1
 1980	    11	    25	    943.292	          1
 1980	    11	    26	    832.824	          1
 1980	    11	    27	    905.485	          1
 1980	    11	    28	    856.611	          1
 1980	    11	    29	    856.611	          1
 1980	    11	    30	    821.092	          1
 1980	    12	     1	    809.466	          1
 1980	    12	     2	   1329.965	          1
 1980	    12	     3	   1267.240	          1
 1980	    12	     4	   1076.608	          1
 1980	    12	     5	    943.292	          1
 1980	    12	     6	    956.117	          1
 1980	    12	     7	    905.485	          1
 1980	    12	     8	    943.292	          1
 1980	    12	     9	    917.977	          1
 1980	    12	    10	   1021.920	          1
 1980	    12	    11	   1147.568	          1
 1980	    12	    12	   1512.658	          1
 1980	    12	    13	   1221.467	          1
 1980	    12	    14	   1267.240	          1
 1980	    12	    15	   1314.101	          1
 1980	    12	    16	   1062.764	          1
 1980	    12	    17	    982.100	          1
 1980	    12	    18	   1147.568	          1
 1980	    12	    19	   1049.035	          1
 1980	    12	    20	    995.261	          1
 1980	    12	    21	    995.261	          1
 1980	    12	    22	   1049.035	          1
 1980	    12	    23	   1035.421	          1
 1980	    12	    24	   1206.450	          1
 1980	    12	    25	   1133.142	          1
 1980	    12	    26	   1090.567	          1
 1980	    12	    27	   1236.604	          1
 1980	    12	    28	   1076.608	          1
 1980	    12	    29	   1221.467	          1
 1980	    12	    30	   1314.101	          1
 1980	    12	    31	   1251.862	          1
 1981	     1	     1	   1710.747	          1
 1981	     1	     2	   1495.422	          1
 1981	     1	     3	   1362.062	          1
 1981	     1	     4	   1021.920	          1
 1981	     1	     5	   1618.762	          1
 1981	     1	     6	    917.977	          1
