CABra ID  	 691
ANA ID    	 58826000
Longitude 	 -42.521   	 dd
Latitude  	 -22.228   	 dd
Area      	 169.15    	 km²
Elevation 	 1150.46   	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	      2.783	          1
 1980	    10	     2	      2.783	          1
 1980	    10	     3	      2.783	          1
 1980	    10	     4	      2.783	          1
 1980	    10	     5	      2.703	          1
 1980	    10	     6	      2.546	          1
 1980	    10	     7	      2.546	          1
 1980	    10	     8	      2.945	          1
 1980	    10	     9	      3.450	          1
 1980	    10	    10	      6.023	          1
 1980	    10	    11	      6.443	          1
 1980	    10	    12	      9.393	          1
 1980	    10	    13	      7.422	          1
 1980	    10	    14	      6.232	          1
 1980	    10	    15	      6.232	          1
 1980	    10	    16	      6.023	          1
 1980	    10	    17	      4.918	          1
 1980	    10	    18	      4.629	          1
 1980	    10	    19	      4.071	          1
 1980	    10	    20	      3.890	          1
 1980	    10	    21	      3.890	          1
 1980	    10	    22	      3.890	          1
 1980	    10	    23	      3.890	          1
 1980	    10	    24	      3.890	          1
 1980	    10	    25	      3.890	          1
 1980	    10	    26	      3.890	          1
 1980	    10	    27	      3.800	          1
 1980	    10	    28	      3.624	          1
 1980	    10	    29	      3.450	          1
 1980	    10	    30	      3.364	          1
 1980	    10	    31	      3.194	          1
 1980	    11	     1	      3.194	          1
 1980	    11	     2	      3.194	          1
 1980	    11	     3	      3.194	          1
 1980	    11	     4	      3.194	          1
 1980	    11	     5	      3.194	          1
 1980	    11	     6	      3.194	          1
 1980	    11	     7	      3.450	          1
 1980	    11	     8	      3.624	          1
 1980	    11	     9	      4.162	          1
 1980	    11	    10	      5.015	          1
 1980	    11	    11	     16.743	          1
 1980	    11	    12	     17.479	          1
 1980	    11	    13	     15.304	          1
 1980	    11	    14	     14.601	          1
 1980	    11	    15	     13.229	          1
 1980	    11	    16	     13.229	          1
 1980	    11	    17	     13.229	          1
 1980	    11	    18	      9.393	          1
 1980	    11	    19	      5.613	          1
 1980	    11	    20	      5.511	          1
 1980	    11	    21	      5.015	          1
 1980	    11	    22	      4.821	          1
 1980	    11	    23	      4.347	          1
 1980	    11	    24	      7.091	          1
 1980	    11	    25	     13.636	          1
 1980	    11	    26	      6.765	          1
 1980	    11	    27	      5.511	          1
 1980	    11	    28	      4.347	          1
 1980	    11	    29	      5.212	          1
 1980	    11	    30	      6.232	          1
 1980	    12	     1	     30.860	          1
 1980	    12	     2	     46.866	          1
 1980	    12	     3	     35.481	          1
 1980	    12	     4	     14.601	          1
 1980	    12	     5	      8.563	          1
 1980	    12	     6	      6.765	          1
 1980	    12	     7	      6.337	          1
 1980	    12	     8	      6.023	          1
 1980	    12	     9	      6.023	          1
 1980	    12	    10	     12.164	          1
 1980	    12	    11	      6.657	          1
 1980	    12	    12	      8.215	          1
 1980	    12	    13	      9.393	          1
 1980	    12	    14	     10.002	          1
 1980	    12	    15	     12.295	          1
 1980	    12	    16	      8.798	          1
 1980	    12	    17	      7.201	          1
 1980	    12	    18	      6.443	          1
 1980	    12	    19	      5.411	          1
 1980	    12	    20	      4.918	          1
 1980	    12	    21	      4.725	          1
 1980	    12	    22	      4.725	          1
 1980	    12	    23	      5.015	          1
 1980	    12	    24	      5.113	          1
 1980	    12	    25	     10.623	          1
 1980	    12	    26	     16.307	          1
 1980	    12	    27	      7.759	          1
 1980	    12	    28	      7.311	          1
 1980	    12	    29	      7.759	          1
 1980	    12	    30	      7.534	          1
 1980	    12	    31	      6.982	          1
 1981	     1	     1	      7.311	          1
 1981	     1	     2	      8.100	          1
 1981	     1	     3	      7.986	          1
 1981	     1	     4	      7.872	          1
 1981	     1	     5	      7.311	          1
 1981	     1	     6	      6.873	          1
 1981	     1	     7	      6.443	          1
 1981	     1	     8	      6.232	          1
 1981	     1	     9	      5.920	          1
 1981	     1	    10	     14.323	          1
 1981	     1	    11	      8.798	          1
 1981	     1	    12	     16.018	          1
 1981	     1	    13	     15.875	          1
 1981	     1	    14	     10.002	          1
 1981	     1	    15	     12.427	          1
 1981	     1	    16	     10.125	          1
 1981	     1	    17	      9.635	          1
 1981	     1	    18	      7.872	          1
 1981	     1	    19	      7.201	          1
 1981	     1	    20	      8.680	          1
 1981	     1	    21	      7.534	          1
 1981	     1	    22	     22.968	          1
 1981	     1	    23	     10.373	          1
 1981	     1	    24	     14.323	          1
 1981	     1	    25	     16.018	          1
 1981	     1	    26	     11.902	          1
 1981	     1	    27	     10.373	          1
 1981	     1	    28	      8.916	          1
 1981	     1	    29	      8.100	          1
 1981	     1	    30	      7.872	          1
 1981	     1	    31	      7.759	          1
 1981	     2	     1	      7.986	          1
 1981	     2	     2	      7.534	          1
 1981	     2	     3	     17.479	          1
 1981	     2	     4	     14.881	          1
 1981	     2	     5	     11.772	          1
 1981	     2	     6	      9.514	          1
 1981	     2	     7	     14.741	          1
 1981	     2	     8	      9.757	          1
 1981	     2	     9	      8.798	          1
 1981	     2	    10	      8.563	          1
 1981	     2	    11	      8.100	          1
 1981	     2	    12	      7.422	          1
 1981	     2	    13	      6.873	          1
 1981	     2	    14	      6.443	          1
 1981	     2	    15	      6.232	          1
 1981	     2	    16	      6.127	          1
 1981	     2	    17	      8.215	          1
 1981	     2	    18	      6.873	          1
 1981	     2	    19	      6.657	          1
 1981	     2	    20	      6.657	          1
 1981	     2	    21	      6.550	          1
 1981	     2	    22	      6.550	          1
 1981	     2	    23	      6.657	          1
 1981	     2	    24	      6.873	          1
 1981	     2	    25	      6.657	          1
 1981	     2	    26	      5.920	          1
 1981	     2	    27	      5.613	          1
 1981	     2	    28	      5.411	          1
 1981	     3	     1	      5.411	          1
 1981	     3	     2	      5.411	          1
 1981	     3	     3	      5.411	          1
 1981	     3	     4	      5.311	          1
 1981	     3	     5	      5.613	          1
 1981	     3	     6	      6.982	          1
 1981	     3	     7	     14.323	          1
 1981	     3	     8	      8.215	          1
 1981	     3	     9	      7.646	          1
 1981	     3	    10	      7.759	          1
 1981	     3	    11	      7.091	          1
 1981	     3	    12	      6.550	          1
 1981	     3	    13	      6.232	          1
 1981	     3	    14	      6.127	          1
 1981	     3	    15	      6.023	          1
 1981	     3	    16	      6.023	          1
 1981	     3	    17	      6.023	          1
 1981	     3	    18	      6.982	          1
 1981	     3	    19	      7.311	          1
 1981	     3	    20	      6.765	          1
 1981	     3	    21	      6.550	          1
 1981	     3	    22	      6.232	          1
 1981	     3	    23	      5.920	          1
 1981	     3	    24	      5.411	          1
 1981	     3	    25	      5.411	          1
 1981	     3	    26	      5.411	          1
 1981	     3	    27	      5.212	          1
 1981	     3	    28	      5.015	          1
 1981	     3	    29	      5.714	          1
 1981	     3	    30	      6.550	          1
 1981	     3	    31	      6.550	          1
 1981	     4	     1	      6.337	          1
 1981	     4	     2	      6.127	          1
 1981	     4	     3	      6.023	          1
 1981	     4	     4	      5.817	          1
 1981	     4	     5	      5.613	          1
 1981	     4	     6	      5.411	          1
 1981	     4	     7	      5.212	          1
 1981	     4	     8	      5.212	          1
 1981	     4	     9	      5.212	          1
 1981	     4	    10	      5.212	          1
 1981	     4	    11	      4.918	          1
 1981	     4	    12	      4.918	          1
 1981	     4	    13	      4.821	          1
 1981	     4	    14	      4.821	          1
 1981	     4	    15	      4.725	          1
 1981	     4	    16	      5.311	          1
 1981	     4	    17	     15.731	          1
 1981	     4	    18	     11.902	          1
 1981	     4	    19	      9.154	          1
 1981	     4	    20	      7.534	          1
 1981	     4	    21	      6.023	          1
 1981	     4	    22	      5.511	          1
 1981	     4	    23	      5.212	          1
 1981	     4	    24	      5.212	          1
 1981	     4	    25	      5.015	          1
 1981	     4	    26	      5.212	          1
 1981	     4	    27	      5.113	          1
