CABra ID  	 734
ANA ID    	 87399000
Longitude 	 -50.978   	 dd
Latitude  	 -29.966   	 dd
Area      	 1418.98   	 km²
Elevation 	 47.79     	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	     12.777	          1
 1980	    10	     2	     11.785	          1
 1980	    10	     3	     10.571	          1
 1980	    10	     4	      9.412	          1
 1980	    10	     5	      9.574	          1
 1980	    10	     6	      9.738	          1
 1980	    10	     7	      8.932	          1
 1980	    10	     8	      8.080	          1
 1980	    10	     9	      8.386	          1
 1980	    10	    10	      8.618	          1
 1980	    10	    11	      8.618	          1
 1980	    10	    12	      6.904	          1
 1980	    10	    13	      6.413	          1
 1980	    10	    14	      6.005	          1
 1980	    10	    15	      5.871	          1
 1980	    10	    16	      6.622	          1
 1980	    10	    17	      7.482	          1
 1980	    10	    18	      8.156	          1
 1980	    10	    19	      7.556	          1
 1980	    10	    20	      7.118	          1
 1980	    10	    21	      8.156	          1
 1980	    10	    22	      9.331	          1
 1980	    10	    23	      9.251	          1
 1980	    10	    24	      8.309	          1
 1980	    10	    25	      7.630	          1
 1980	    10	    26	      7.046	          1
 1980	    10	    27	      6.833	          1
 1980	    10	    28	      6.140	          1
 1980	    10	    29	      5.349	          1
 1980	    10	    30	      4.603	          1
 1980	    10	    31	      3.961	          1
 1980	    11	     1	      4.190	          1
 1980	    11	     2	      5.871	          1
 1980	    11	     3	      7.046	          1
 1980	    11	     4	      8.540	          1
 1980	    11	     5	     10.068	          1
 1980	    11	     6	     11.171	          1
 1980	    11	     7	     12.052	          1
 1980	    11	     8	     13.801	          1
 1980	    11	     9	     16.350	          1
 1980	    11	    10	     18.751	          1
 1980	    11	    11	     23.583	          1
 1980	    11	    12	     26.022	          1
 1980	    11	    13	     27.740	          1
 1980	    11	    14	     27.740	          1
 1980	    11	    15	     27.740	          1
 1980	    11	    16	     27.740	          1
 1980	    11	    17	     27.448	          1
 1980	    11	    18	     25.743	          1
 1980	    11	    19	     23.846	          1
 1980	    11	    20	     22.661	          1
 1980	    11	    21	     21.061	          1
 1980	    11	    22	     19.400	          1
 1980	    11	    23	     17.901	          1
 1980	    11	    24	     16.861	          1
 1980	    11	    25	     15.647	          1
 1980	    11	    26	     13.801	          1
 1980	    11	    27	     11.520	          1
 1980	    11	    28	      9.412	          1
 1980	    11	    29	      7.336	          1
 1980	    11	    30	      4.785	          1
 1980	    12	     1	      5.285	          1
 1980	    12	     2	      6.622	          1
 1980	    12	     3	      8.080	          1
 1980	    12	     4	     11.608	          1
 1980	    12	     5	     28.927	          1
 1980	    12	     6	     36.777	          1
 1980	    12	     7	     47.205	          1
 1980	    12	     8	     55.168	          1
 1980	    12	     9	     52.872	          1
 1980	    12	    10	     51.082	          1
 1980	    12	    11	     51.082	          1
 1980	    12	    12	     48.474	          1
 1980	    12	    13	     40.813	          1
 1980	    12	    14	     33.683	          1
 1980	    12	    15	     31.722	          1
 1980	    12	    16	     29.839	          1
 1980	    12	    17	     27.159	          1
 1980	    12	    18	     24.378	          1
 1980	    12	    19	     21.741	          1
 1980	    12	    20	     18.859	          1
 1980	    12	    21	     17.170	          1
 1980	    12	    22	     15.947	          1
 1980	    12	    23	     14.470	          1
 1980	    12	    24	     12.961	          1
 1980	    12	    25	     11.697	          1
 1980	    12	    26	     10.151	          1
 1980	    12	    27	      8.932	          1
 1980	    12	    28	      8.080	          1
 1980	    12	    29	      7.190	          1
 1980	    12	    30	      6.140	          1
 1980	    12	    31	      5.285	          1
 1981	     1	     1	      4.846	          1
 1981	     1	     2	      4.424	          1
 1981	     1	     3	      3.904	          1
 1981	     1	     4	      3.737	          1
 1981	     1	     5	      3.573	          1
 1981	     1	     6	      3.682	          1
 1981	     1	     7	      4.017	          1
 1981	     1	     8	      4.190	          1
 1981	     1	     9	      4.017	          1
 1981	     1	    10	      3.904	          1
 1981	     1	    11	      3.202	          1
 1981	     1	    12	      2.749	          1
 1981	     1	    13	      2.280	          1
 1981	     1	    14	      1.848	          1
 1981	     1	    15	      1.417	          1
 1981	     1	    16	      1.492	          1
 1981	     1	    17	      2.016	          1
 1981	     1	    18	      2.235	          1
 1981	     1	    19	      2.016	          1
 1981	     1	    20	      2.235	          1
 1981	     1	    21	      1.848	          1
 1981	     1	    22	      1.530	          1
 1981	     1	    23	      1.380	          1
 1981	     1	    24	      1.307	          1
 1981	     1	    25	      1.766	          1
 1981	     1	    26	      2.235	          1
 1981	     1	    27	      2.847	          1
 1981	     1	    28	      3.202	          1
 1981	     1	    29	      4.132	          1
 1981	     1	    30	      5.158	          1
 1981	     1	    31	      6.276	          1
 1981	     2	     1	      7.409	          1
 1981	     2	     2	      9.985	          1
 1981	     2	     3	     12.503	          1
 1981	     2	     4	     14.956	          1
 1981	     2	     5	     16.758	          1
 1981	     2	     6	     17.067	          1
 1981	     2	     7	     17.067	          1
 1981	     2	     8	     16.554	          1
 1981	     2	     9	     15.647	          1
 1981	     2	    10	     14.278	          1
 1981	     2	    11	     13.146	          1
 1981	     2	    12	     11.697	          1
 1981	     2	    13	     10.402	          1
 1981	     2	    14	      8.463	          1
 1981	     2	    15	      5.938	          1
 1981	     2	    16	      4.483	          1
 1981	     2	    17	      5.285	          1
 1981	     2	    18	      6.975	          1
 1981	     2	    19	      9.091	          1
 1981	     2	    20	     12.142	          1
 1981	     2	    21	     15.547	          1
 1981	     2	    22	     17.274	          1
 1981	     2	    23	     18.112	          1
 1981	     2	    24	     17.586	          1
 1981	     2	    25	     16.452	          1
 1981	     2	    26	     15.547	          1
 1981	     2	    27	     14.470	          1
 1981	     2	    28	     13.707	          1
 1981	     3	     1	     13.053	          1
 1981	     3	     2	     11.608	          1
 1981	     3	     3	     10.912	          1
 1981	     3	     4	     10.318	          1
 1981	     3	     5	      9.091	          1
 1981	     3	     6	      7.929	          1
 1981	     3	     7	      7.556	          1
 1981	     3	     8	      7.336	          1
 1981	     3	     9	      7.046	          1
 1981	     3	    10	      6.833	          1
 1981	     3	    11	      6.140	          1
 1981	     3	    12	      6.692	          1
 1981	     3	    13	      7.704	          1
 1981	     3	    14	      8.618	          1
 1981	     3	    15	     10.234	          1
 1981	     3	    16	     11.433	          1
 1981	     3	    17	      9.574	          1
 1981	     3	    18	      7.929	          1
 1981	     3	    19	      7.556	          1
 1981	     3	    20	      5.938	          1
 1981	     3	    21	      5.349	          1
 1981	     3	    22	      5.032	          1
 1981	     3	    23	      5.349	          1
 1981	     3	    24	      4.846	          1
 1981	     3	    25	      4.483	          1
 1981	     3	    26	      3.961	          1
 1981	     3	    27	      3.682	          1
 1981	     3	    28	      4.132	          1
 1981	     3	    29	      4.908	          1
 1981	     3	    30	      4.603	          1
 1981	     3	    31	      4.190	          1
 1981	     4	     1	      3.627	          1
 1981	     4	     2	      3.306	          1
 1981	     4	     3	      2.997	          1
 1981	     4	     4	      2.653	          1
 1981	     4	     5	      2.326	          1
 1981	     4	     6	      1.932	          1
 1981	     4	     7	      1.646	          1
 1981	     4	     8	      1.417	          1
 1981	     4	     9	      1.307	          1
 1981	     4	    10	      1.237	          1
 1981	     4	    11	      1.237	          1
 1981	     4	    12	      1.133	          1
 1981	     4	    13	      1.001	          1
 1981	     4	    14	      1.380	          1
 1981	     4	    15	      1.932	          1
 1981	     4	    16	      2.510	          1
 1981	     4	    17	      3.306	          1
 1981	     4	    18	      3.848	          1
 1981	     4	    19	      3.682	          1
 1981	     4	    20	      3.048	          1
 1981	     4	    21	      2.557	          1
 1981	     4	    22	      2.060	          1
 1981	     4	    23	      1.686	          1
 1981	     4	    24	      1.568	          1
 1981	     4	    25	      2.103	          1
 1981	     4	    26	      2.701	          1
 1981	     4	    27	      3.848	          1
 1981	     4	    28	      4.190	          1
 1981	     4	    29	      4.846	          1
 1981	     4	    30	      5.673	          1
 1981	     5	     1	      6.622	          1
 1981	     5	     2	      7.336	          1
 1981	     5	     3	      6.762	          1
 1981	     5	     4	      5.871	          1
 1981	     5	     5	      5.349	          1
 1981	     5	     6	      5.221	          1
 1981	     5	     7	      5.095	          1
 1981	     5	     8	      5.349	          1
 1981	     5	     9	      4.724	          1
 1981	     5	    10	      4.543	          1
 1981	     5	    11	      4.543	          1
 1981	     5	    12	      4.663	          1
 1981	     5	    13	      4.724	          1
 1981	     5	    14	      4.248	          1
 1981	     5	    15	      5.349	          1
 1981	     5	    16	      6.005	          1
 1981	     5	    17	      4.785	          1
 1981	     5	    18	      3.682	          1
 1981	     5	    19	      3.573	          1
 1981	     5	    20	      4.365	          1
 1981	     5	    21	      4.724	          1
 1981	     5	    22	      5.607	          1
 1981	     5	    23	      5.871	          1
 1981	     5	    24	      4.846	          1
 1981	     5	    25	      3.627	          1
 1981	     5	    26	      3.848	          1
 1981	     5	    27	      4.483	          1
 1981	     5	    28	      5.542	          1
 1981	     5	    29	      5.095	          1
 1981	     5	    30	      4.846	          1
 1981	     5	    31	      4.248	          1
 1981	     6	     1	      3.904	          1
 1981	     6	     2	      3.627	          1
 1981	     6	     3	      6.904	          1
 1981	     6	     4	      7.630	          1
 1981	     6	     5	      7.853	          1
 1981	     6	     6	      6.482	          1
 1981	     6	     7	     12.142	          1
 1981	     6	     8	     16.861	          1
 1981	     6	     9	     20.501	          1
 1981	     6	    10	     22.084	          1
 1981	     6	    11	     22.778	          1
 1981	     6	    12	     24.111	          1
 1981	     6	    13	     26.303	          1
 1981	     6	    14	     27.448	          1
 1981	     6	    15	     27.448	          1
 1981	     6	    16	     26.022	          1
 1981	     6	    17	     23.583	          1
 1981	     6	    18	     22.084	          1
 1981	     6	    19	     21.287	          1
 1981	     6	    20	     20.279	          1
 1981	     6	    21	     18.859	          1
 1981	     6	    22	     17.482	          1
 1981	     6	    23	     16.047	          1
 1981	     6	    24	     15.947	          1
 1981	     6	    25	     16.452	          1
 1981	     6	    26	     16.861	          1
 1981	     6	    27	     16.861	          1
 1981	     6	    28	     16.656	          1
 1981	     6	    29	     16.452	          1
 1981	     6	    30	     16.861	          1
 1981	     7	     1	     17.796	          1
 1981	     7	     2	     18.537	          1
 1981	     7	     3	     18.859	          1
 1981	     7	     4	     18.537	          1
 1981	     7	     5	     17.901	          1
 1981	     7	     6	     17.691	          1
 1981	     7	     7	     17.378	          1
 1981	     7	     8	     16.656	          1
 1981	     7	     9	     16.047	          1
 1981	     7	    10	     15.152	          1
 1981	     7	    11	     14.278	          1
 1981	     7	    12	     16.350	          1
 1981	     7	    13	     18.751	          1
 1981	     7	    14	     17.482	          1
 1981	     7	    15	     18.859	          1
 1981	     7	    16	     17.901	          1
 1981	     7	    17	     18.967	          1
 1981	     7	    18	     20.168	          1
 1981	     7	    19	     21.174	          1
 1981	     7	    20	     21.627	          1
 1981	     7	    21	     25.466	          1
 1981	     7	    22	     32.692	          1
 1981	     7	    23	     35.036	          1
 1981	     7	    24	     35.036	          1
 1981	     7	    25	     34.018	          1
 1981	     7	    26	     32.367	          1
 1981	     7	    27	     30.771	          1
 1981	     7	    28	     28.927	          1
 1981	     7	    29	     27.740	          1
 1981	     7	    30	     25.466	          1
 1981	     7	    31	     22.894	          1
 1981	     8	     1	     22.084	          1
 1981	     8	     2	     21.061	          1
 1981	     8	     3	     20.168	          1
 1981	     8	     4	     18.967	          1
 1981	     8	     5	     17.796	          1
 1981	     8	     6	     16.758	          1
 1981	     8	     7	     15.647	          1
 1981	     8	     8	     14.567	          1
 1981	     8	     9	     14.086	          1
 1981	     8	    10	     13.332	          1
 1981	     8	    11	     12.412	          1
 1981	     8	    12	     11.085	          1
 1981	     8	    13	     10.486	          1
 1981	     8	    14	     10.486	          1
 1981	     8	    15	      9.820	          1
 1981	     8	    16	      9.012	          1
 1981	     8	    17	      8.540	          1
 1981	     8	    18	      7.704	          1
 1981	     8	    19	      6.344	          1
 1981	     8	    20	      6.072	          1
 1981	     8	    21	      6.005	          1
 1981	     8	    22	      5.673	          1
 1981	     8	    23	      5.607	          1
 1981	     8	    24	      5.413	          1
 1981	     8	    25	      5.349	          1
 1981	     8	    26	      5.477	          1
 1981	     8	    27	      9.331	          1
 1981	     8	    28	     12.594	          1
 1981	     8	    29	     14.278	          1
 1981	     8	    30	     14.086	          1
 1981	     8	    31	     13.332	          1
 1981	     9	     1	     12.412	          1
 1981	     9	     2	     12.869	          1
 1981	     9	     3	     16.554	          1
 1981	     9	     4	     17.901	          1
 1981	     9	     5	     21.287	          1
 1981	     9	     6	     22.778	          1
 1981	     9	     7	     22.545	          1
 1981	     9	     8	     21.969	          1
 1981	     9	     9	     20.948	          1
 1981	     9	    10	     19.947	          1
 1981	     9	    11	     19.291	          1
 1981	     9	    12	     19.183	          1
 1981	     9	    13	     19.837	          1
 1981	     9	    14	     24.378	          1
 1981	     9	    15	     38.577	          1
 1981	     9	    16	     51.525	          1
 1981	     9	    17	     53.326	          1
 1981	     9	    18	     50.202	          1
 1981	     9	    19	     45.548	          1
 1981	     9	    20	     46.371	          1
 1981	     9	    21	     50.202	          1
 1981	     9	    22	     58.982	          1
 1981	     9	    23	     63.482	          1
 1981	     9	    24	     66.608	          1
 1981	     9	    25	     68.749	          1
 1981	     9	    26	     72.606	          1
 1981	     9	    27	     70.936	          1
 1981	     9	    28	     69.291	          1
 1981	     9	    29	     65.555	          1
 1981	     9	    30	     61.455	          1
 1981	    10	     1	     57.054	          1
 1981	    10	     2	     51.525	          1
 1981	    10	     3	     45.548	          1
 1981	    10	     4	     40.058	          1
 1981	    10	     5	     35.725	          1
 1981	    10	     6	     32.043	          1
 1981	    10	     7	     30.147	          1
 1981	    10	     8	     26.022	          1
 1981	    10	     9	     23.322	          1
 1981	    10	    10	     21.741	          1
 1981	    10	    11	     20.058	          1
 1981	    10	    12	     18.537	          1
 1981	    10	    13	     17.170	          1
 1981	    10	    14	     15.746	          1
 1981	    10	    15	     14.374	          1
 1981	    10	    16	     12.777	          1
 1981	    10	    17	     11.963	          1
 1981	    10	    18	     11.085	          1
 1981	    10	    19	      9.902	          1
 1981	    10	    20	      9.091	          1
 1981	    10	    21	      8.309	          1
 1981	    10	    22	      7.929	          1
 1981	    10	    23	      7.409	          1
 1981	    10	    24	      6.692	          1
 1981	    10	    25	      6.005	          1
 1981	    10	    26	      5.673	          1
 1981	    10	    27	      5.871	          1
 1981	    10	    28	      5.871	          1
